食物名称,能量,蛋白质,脂肪,碳水化合物
小麦,338,11.9,1.3,75.2
五谷香,378,9.9,2.6,78.9
小麦粉（代表值）,359,12.4,1.7,74.1
小麦粉(富强粉，特一粉),351,10.3,1.1,75.2
小麦粉(特二粉),352,10.4,1.1,75.9
小麦胚粉,403,36.4,10.1,44.5
麸皮,282,15.8,4,61.4
小麦面粉(标准粉),362,15.7,2.5,70.9
小麦面粉(富强粉、特一粉),362,12.3,1.5,74.9
小麦面粉(特制),366,13.3,2.2,73.5
挂面（代表值）,353,11.4,0.9,75.1
挂面(标准粉),348,10.1,0.7,76
挂面(精制龙须面),348,11.2,0.5,74.7
面条（生，代表值）,301,8.9,0.6,65.6
面条(标准粉，切面),283,8.5,1.6,59.5
面条(特粉，切面),287,7.3,0.1,64.5
面条(干切面),355,11,0.1,77.7
面条(虾蓉面),436,8.5,15.1,68.3
通心面[通心粉],351,11.9,0.1,75.8
挂面(富强粉),363,13,1.5,74.7
龙须面(素),359,10.8,1.8,75.7
龙须面(鸡蛋),352,14,1.8,71.5
面条(富强粉，切面),277,8.9,0.4,60.7
面条(富强粉，煮),107,3.9,0.4,22.8
花卷,214,6.4,1,45.6
空锅饼,278,8.6,0.2,60.9
烙饼(标准粉),258,7.5,2.3,52.9
馒头(代表值),223,7,1.1,47
馒头(标准粉),236,7.8,1,49.8
烧饼(加糖),298,8,2.1,62.7
油饼,403,7.9,22.9,42.4
油条,388,6.9,17.6,51
花卷(加牛奶),282,6.5,3.2,58.9
馒头(富强粉),235,7.1,1.3,50.9
水面筋,142,23.5,0.1,12.3
油面筋,492,26.9,25.1,40.4
面筋(肉馅),364,16.2,33.2,0.1
稻米(代表值),346,7.9,0.9,77.2
粳米(标一),345,7.7,0.6,77.4
粳米(标二),347,8,0.6,77.7
粳米(标三),346,7.2,0.8,77.6
粳米(标四),347,7.5,0.7,78.1
粳米(特等),335,7.3,0.4,75.7
粳米(极品精米),343,6.4,1.2,78.1
粳米(西域王米),353,7.5,1.8,77
粳米(小站稻米),346,6.9,0.7,79.2
籼米(标一),348,7.7,0.7,77.9
籼米(标准)[机米],349,7.9,0.6,78.3
籼米(优标),350,8.3,1,77.3
早籼,361,9.9,2.2,76.2
早籼(标一),352,8.8,1,77.2
早籼(标二),346,9.5,1,75.1
早籼(特等),347,9.1,0.6,76.7
晚籼(标一),346,7.9,0.7,77.3
晚籼(标二),344,8.6,0.8,75.7
