食物名称,能量,蛋白质,脂肪,碳水化合物,serving_grams
茼蒿拌豆腐,86.9,4.15,6.61,3.45,156.5
猪肉丸子,336.0,12.35,30.79,2.0,75.0
美味猪肉饺子,215.15,9.52,9.5,23.66,165.0
猪肉茴香饺子,170.56,8.27,5.93,22.03,180.0
大葱猪肉馅饼,213.04,9.5,5.15,33.35,115.0
冬瓜排骨汤,54.97,3.6,2.99,3.86,322.0
养生玉米排骨汤,72.08,3.21,2.33,10.43,308.0
番茄排骨汤,58.51,3.65,3.41,3.19,282.0
排骨烧芋头,215.83,14.16,15.36,5.09,120.0
猪排骨焖土豆,185.09,6.86,12.05,12.5,161.0
芹菜炒猪排,119.87,5.69,9.37,3.53,153.5
鲜玉米炖猪排,181.41,7.97,9.86,16.0,156.0
玉米白萝卜炖猪骨,,,,,
玉米胡萝卜排骨汤,,,,,
胡萝卜炒肉丝,,,,,
白菜炖猪肉,,,,,
猪肉馅饼,,,,,
豆芽炖排骨,,,,,
猪肉白菜馅大包子,,,,,
肉片炒卷心菜,,,,,
焖蒸猪肉油菜,,,,,
冬瓜猪骨汤,,,,,
肉丸茄子煲,,,,,
火腿炒豆芽,,,,,
火腿冬瓜汤,,,,,
火腿冬瓜,,,,,
白萝卜炖羊肉,,,,,
火腿扒白菜,,,,,
五花肉炒白菜,,,,,
腐竹烧肉,,,,,
猪肉豆角包子,,,,,
牛肉炖胡萝卜,,,,,
番茄牛肉块,,,,,
青椒炒牛肉丝,,,,,
洋葱牛肉饼,,,,,
排骨海带汤,,,,,
清炖排骨,,,,,
咖喱土豆焖牛肉,,,,,
冬瓜煲牛肉,,,,,
烤牛肉茄子,,,,,
羊肉大包,,,,,
羊肉炖白萝卜,,,,,
羊肉炖冬瓜,,,,,
香菇鸡肉粥,,,,,
鲜肉小笼包子,,,,,
鸡丝腐竹黄瓜,,,,,
小鸡炖蘑菇,,,,,
香煎鸡蛋饼,,,,,
香葱鸡蛋饼,,,,,
香肠炒豆芽,,,,,
火腿鸡蛋饼,,,,,
菌菇炖小鸡,,,,,
番茄炒鸡片,,,,,
咖喱鸡焖土豆,,,,,
家常鹅肉,,,,,
萝卜炖鸭块,,,,,
青椒肉丝,,,,,
芹菜肉丝,,,,,
鸭块烧茭白,,,,,
苦瓜炒仔鸭,,,,,
香肠炒油菜,,,,,
香肠炒黑豆芽,,,,,
青椒炒鸡蛋,,,,,
炒鸡蛋,,,,,
西红柿鸡蛋豆腐汤,,,,,
青椒炒蛋,,,,,
番茄炒蛋,,,,,
芹菜叶蛋炒饭,,,,,
咸蛋炒苦瓜,,,,,
牛奶白菜,,,,,
五香鲤鱼块,,,,,
啤酒鲤鱼,,,,,
糖醋黄河鲤鱼,,,,,
红烧带鱼段,,,,,
腐竹焖鱼,,,,,
丝瓜鱼片汤,,,,,
茄子焖鱼,,,,,
大虾烩白菜,,,,,
虾仁冬菇水饺,,,,,
虾仁冬瓜,,,,,
冬瓜鲜虾,,,,,
虾仁丝瓜,,,,,
虾米炒黄瓜,,,,,
虾米拌菠菜,,,,,
